Name,Comment,Time,Likes,Reply Count,Label
rijail il,"Enggak tuh, kn yg rancang RUU KUHP DPR.",2019-09-30T17:09:39Z,0,,ham
Lucky Aribowo,Pada nyesel milih nomer 01? Hahahah?,2019-09-20T06:01:08Z,1,0,ham
FANNY PLAYERS,02 njink,2019-07-07T15:58:27Z,0,0,ham
thopan musthofa,"Dari dulu saya sudah yakin lahir batin. .
Joko Widodo lah pemenangnya.....
Yakin yakin yakin",2019-06-27T15:29:37Z,0,0,ham
Ansar Tato,Bu..cara menilainya sprti apa? Ibu ga prnh turun ke lapangan...rakyat kecil itu makin menderita,2019-06-21T02:12:32Z,0,0,ham
Chaca Damita,Sepertinya yang di butuhkan indonesia ada di perencanaan pak jokowi.,2019-05-31T14:05:35Z,0,0,ham
Chaca Damita,Tujuannya jelas klo pak jokowi ~,2019-05-31T13:53:07Z,0,0,ham
Chaca Damita,Liat pak jokowi itu bawaannya ademmmmm gitu yah,2019-05-31T13:51:48Z,0,0,ham
Chaca Damita,Suatu saat semuanorang akan rindu pak jokowi jadi presidennya,2019-05-31T13:51:11Z,0,0,ham
Chaca Damita,Suatu saat semua orang akan rindu pak jokowi jadi presiden nya aku yakin dan percaya,2019-05-31T13:49:57Z,0,0,ham
Chaca Damita,"Salah jalan bener pak bertahun tahun salah jalan pak prabowo bener kata bapak, pak jokowilah yang sedikit demi sedikit menuntun kita ke arah yang lebih baik",2019-05-31T13:45:14Z,0,1,ham
Fachry Hermansyah,Mana janji jokowi,2020-07-08T07:07:35Z,0,,ham
Chaca Damita,Pak jokowi pk jokowi pak jokowiku,2019-05-31T13:44:31Z,0,0,ham
Chaca Damita,Pak jokowiku mantep mantep pak ga bisa di bantah yah jawabannya,2019-05-31T13:44:04Z,0,0,ham
Chaca Damita,Pak jokowi ku pak jokowi ku puinter mantep mantepnpak jokowi ku pak jokowi ku kreatif pak jokowiku yang mantep,2019-05-31T13:43:18Z,0,0,ham
Chaca Damita,Pak jokowi 💓💓💓💓💓,2019-05-31T13:25:46Z,0,0,ham
Romy Hadiwijaya,01 tetap unggul...jokowi amin menang,2019-05-30T02:05:18Z,1,0,ham
Adine Audry Putriwidi,tolong pak sinyalnya dikembaliin anak2 yg bljr lewat google ksian😔,2019-05-22T10:43:58Z,0,0,ham
syahrul mohchtar,ini sudah jelas bahwa dunia ini baling lama 40 tahun lagi sebelum turun nabi isa aw....... Kiai jadi masuk politikkus.... Apa kata dunia,2019-05-22T04:06:18Z,0,0,ham
syahrul mohchtar,"Kalau wakilnya jokowi tua gini sudah bau tanahhhh......... Buat apa, wakilll nya jokowi kan seorang....muslim yang....dibilang kiai h... Makrup amin..... Ko kiai ikuttt politikkk",2019-05-22T04:04:33Z,0,0,ham
Anjas Alidrus,Ya allah,2019-05-19T17:22:16Z,0,0,ham
Billimana Hardi,"Saya setuju prabowo jadi presiden , dan saya juga setuju kalo indonesia akan perang ! Karna  kami bakalan mati syahid , kami islam sungguhan , kami bukan berpura"" , kami gk gila ekonomi , kami juga tidak berpura"" !! 
Demi suadara kami rela mati .
Allahuakbar😊",2019-05-18T14:46:57Z,0,0,ham
TipS Gama,Bukti contoh aja batam tak seramai dulu ketika pt banyak dibuka tapi sekarang banyak yg tutup,2019-05-16T01:04:41Z,0,0,ham
TipS Gama,Jadi wali kota solo saja belum becus apalagi jadi presiden 2 priode hahhaha makin hancur negara ini sudah mulai diremehkan  bahkan sama negara sebelah diabilang kita dianggap lemah (ini beneran kalo tak percaya tanya sendiri  aja sama orang orang singapura sama malaysia) infrastruktur masivve mungkin nak jokodog katakan bukan aktif kwkwkwk no 2 priode,2019-05-16T01:02:32Z,0,0,ham
imroatus rafaza,👆👆👆👆👆👆👆👆👆👆,2019-05-14T05:30:21Z,0,0,ham
RamaGaming •ID,"Siapa setuju yg setuju like 
Jokowi kalau iya kamu menang bisa kah kami di pakai untuk berperang ke israel kami yg suka suka tauran rela mengorban kan nyawa kami de mi mereka disana",2019-05-11T14:28:31Z,1,0,ham
Riesta Titin,"Yg tidak mendukung jokowi itu orang yg🙉 tidak bisa memahami apa yg d bhas nya
.. kalo orang pintar pasti bisa bedakan dr cra tata bicara nua sja sudh keliatan mna yg cerdik dan mana yg mendidik",2019-05-09T15:02:11Z,0,0,ham
Botaz Spike,malaysia dahulu nak bergerak berubah bermula tahun 1986 hingga 2019 baru menampakkan kemajuan dan kbekesanan dalam negara dan luar negara....malah KTP MALAYSIA ELEKTRONIK BERMULA TAHUN 2014..dan malah perlaksanaan adalah bperingkat....indonesia harus bergerak secara setapak demi setapak bukan terus melompat 100 tapak...kerana setiap sesuatu perkerjaan harus diuruskan secara tertib dan tidak kelam kabut agar tersusun..secara am 5tahun masih tidak memadai....MAHATDIR melakukan pembaikkan dalam memajukan malaysia selama 20TAHUN untuk menampakkan hasil....selama 5tahun adalah belum mencukupi untuk melihatkan kualiti kerja...ayuh warga indonesia dan terlalu kelam kabut untuk maju....banyak saya melihat pembaikkan negara indonesia dengan mencontohi malaysia adalah PERLU dan jangan malu untuk mencontohi....mengenai MAKANAN PERCUMA untuk pelajar sekolah rendah dahulu malaysia telah melaksanakan seawal tahun 1988 lg makanan percuma untuk kanak kanak sekolah yang pendapatan ibu bapa kurang berkemampuan atau kadar 2juta rupiah sebulan akan dberikan Bantuan makanan percuma....jika nak cerita pun penat...belajar saja dari malaysia lebih mudah ...,2019-05-09T09:41:36Z,0,0,ham
Angelita maretha,"Siapapun presidennya gak akan bisa merubah hidup lu smua! Tetep aja lu pada kerja & cari uang sendiri😂 orng kok pada bodoh2 rela bertengkar,saling olok2an hanya cuman beda pilihan! *mngkn orng pengangguran*🤦Daripada lu smua kurang kerjaan mnding doa aja,siapapun presidennya smoga bisa membawa negara ini lebih maju dan sejahtera😇",2019-05-09T09:25:13Z,0,0,ham
Yustien Yanni,ya Allah menangkan 01,2019-05-05T10:21:43Z,0,0,ham
Si Klepon,"Sudahlah kawan mari kita bersatu jangan mau dipecah belah ... Hujat menghujat ... Saatnya kembali ke aktivitas kita ,,,",2019-05-03T00:28:53Z,0,0,ham
Wille Chandra,02 mantap,2019-05-02T09:28:06Z,0,0,ham
KILL THIS SLOT,"GASALAH MILIH PRABOWO SANDI 😍
KUBU SEBELAH BAGAIMANA?  NEGARA SELUAS INI BAHASNYA MOBILE LEGEND , DOTA?  HAHA 😂",2019-04-28T21:06:07Z,1,0,ham
KILL THIS SLOT,JOKOWI MAU BERDEBAT MEMBAHAS EKONOMI MIKRO DAN MAKRO DENGAN LULUSAN TERBAIK EKONOMI SANDIAGA UNO HAHHHA LUCU 😂,2019-04-28T20:54:50Z,2,0,ham
ardigoel,"Parodi presiden = THE REAL PEOPLE POWER...
makanya ga ush nyebar hoax...
Kena kan lu....
Kalah teriak curang...",2019-04-27T15:27:38Z,0,0,ham
Putri Monirizki,"Gimana mau jadi negara maju kalau masyarakatnya aja mahal dikit protes?
Apa2 naik wajar, kalau kita mau murah2 terus gakbisa ngikutin perkembangan ekonomi dunia, mau jadi negara berkembang terus atau malah jadi miskin? sasaran empuk penjajahan dong
dollar naik? yaiya soalnya kita gakbisa ngimbangin perkembangan perekonomian dunia

Otak mikir maunya murah ya bisanya cuman protes
CMIIW",2019-04-25T03:54:56Z,1,0,ham
prio hutomo,"02 masih mentah programnya..  
Under level.. 
01 pasti menang",2019-04-24T15:12:53Z,4,0,ham
ARDIYANTO KADISONO,quick count saat ini berapa to presentase nya?,2019-04-24T01:04:20Z,1,0,ham
Putri Riskia,"Semoga Indonesia jaya, amin",2019-04-23T09:25:19Z,0,0,ham
Fatan Timberlek,"Percuma Rakyat Optimis pak.. Jika sistemnya jika seorang pimpinan tidak pengaruh secara Dominan, karna sistem keuangan kita Rakyat mencari Uang, sedang uang yg kita cari adalah Hutangnya orang lain. Saatnya Undang2 1946 di terapkan lagi.. Rakyat tidak butuh kartu2 itu, yg dibutuhkan daya mampu rakyat untuk mncukupi kbutuhan.",2019-04-23T05:11:40Z,0,0,ham
Cokro Lakar Alapola,Megawati katanya gc butuh orang muslim knp masih kh makruf amin yg jadi wakil pelpres 2019,2019-04-23T02:25:45Z,0,0,ham
Cokro Lakar Alapola,Saya hanya menunggu kurban leher lanyala di madura,2019-04-23T02:23:12Z,0,0,ham
DeniSyah,01 omong kosong. Boncos. Mobel lejen. Gamers? Akwowkaowkoawkoakwoakw,2019-04-22T17:44:28Z,0,0,ham
Mayy Gameplay,"Soalnya Guru"" Pegawai pemerintah lainnya d era Jokowi , di tuntut keras utk bekerja. 
Dan menimaliskan korupsi. 

Makanya banyak yg ndak suka ,. Kan pemerintah ndak untung seperti dlu 🤣🤣🤣",2019-04-22T15:15:12Z,16,1,ham
B Kuehnen,Kalau tuntutan ketja keras yang dihargai dengan gaji yang seimbang lebih bisa saya hargai. Kenyataan di lpangan hal terkecil tentang kebersihan saja masih minus. Gaji tinggi tungkat angkut sampah. Pajak dari rakyat balik ke rakyat bukannya suruh bayar lagi,2019-05-16T04:11:21Z,0,,ham
LIBRAVIRGO SAKT MM,"ahhh seandainya pak sandiago uno sm pak jokowi bpsgn pasti kloppp... sejalan pemikirannya, pake otak",2019-04-22T07:51:00Z,11,1,ham
Muhammad Ivan Rahmatullah,Iya coy,2019-07-24T13:20:48Z,0,,ham
warasul ansar,Jokowi-Ma'ruf presidenku,2019-04-22T05:21:23Z,2,0,ham
The Jellyfish Melody,4:09:09 mobile legends,2019-04-21T21:47:02Z,0,0,ham
Wingardium Leviosa,"Tolong mudahkan kami mencari pekerjaan di negara sendiri, saya tidak mau terus menerus menjadi ubab di negara orang",2019-04-21T20:01:47Z,0,0,ham
Bimho bima,"lupa?
#1998
siapa dalangnya?",2019-04-21T19:08:18Z,1,0,ham
erni Bahitt,Menit keberpa pa Rocky ngomong,2019-04-21T15:15:31Z,0,0,ham
Yussidah AT,Oke oce ngapa dibawa bawa hadehh... Program bangkrut,2019-04-21T14:49:11Z,0,0,ham
Resky Eky,Jokowi harus jadi peresiden lagi,2019-04-21T11:16:56Z,2,0,ham
mela.c. santoso,Keren. Bang sandi sll bicara dilandasi data 👏,2019-04-21T06:29:22Z,0,0,ham
Adi Gunawan,"Susah kalo pilih Prabowo harus pake sandi
Mending Jokowi tinggal ammiin:V",2019-04-20T16:38:13Z,5,0,ham
starvirgo star,Maju terus pak JOKOWIII!!!!,2019-04-20T15:24:36Z,1,0,ham
Rina Rina,"Woi kasih kesempatan sama presiden jokowi klu memang jokowi gak baik napa msh byk yg suka fikir tu  jgn kerjanya koar"" aja gak jelas kek pd hebat aja lu pintar bicara tp otak kagak di pakai bicara sembarang saja .",2019-04-20T13:31:18Z,1,0,ham
Neneng Hasanah,"siapapun presidennya perhatikan profesi guru K2, seperti janji2 Jokowi dulu yang masih tidak direalisasikan",2019-04-20T10:02:32Z,3,0,ham
Andrii Pratama,01 Jokowi,2019-04-20T02:39:10Z,1,0,ham
Andrii Pratama,1,2019-04-20T02:38:54Z,1,0,ham
Adiwira Gaming,Jokowi maupun prabowo yg menang jadi presiden tetap aja aku  jadi kuli,2019-04-19T23:09:48Z,0,0,ham
Pargaulan Silaban,"Jika pajak di gratiskan
Dan jika SIM seumur hidup
Apa yg terjadi?
Ingat... Manusia yg punya pendidikan!!!
Salah satu unsur Negera maju itu dari pembangunan"" ...
Dan pembangunan itu di ambil dari pajak rakyat,dan di salurkan kembali untuk rakyat. Jadi pilih mana Rakyat Indonesia??? 
Misal yah saya buat!!!
Di negara"" maju ,menyimpan mobil/motor rusak di dalam rumah di denda,lah di Indonesia? Nggak ada yg larang,mknya jadi aneh gini comment nya😂...
Saya masih pilih Jokowi 2 periode🇮🇩",2019-04-19T20:12:03Z,8,1,ham
Hendri Hidayat,terus yang bilang pengangguran akan dibayar itu bukankah sudah  gak masuk akal ??  mikirrrrrrrr,2019-04-27T17:41:41Z,0,,ham
Mr Lollipop,"Saya pilih yg realistis saja, 02 kebanyakan drama, awas janji yg sangat manis patut di curigai, semua tak semudah membalikkan telapak tangan, ingat ini negara yg sangat besar skali jgn terpancing janji2 manis",2019-04-19T15:48:42Z,0,0,ham
Haha Haha,"Kalian harus sadar mulai skrg kalau ulama ulama membuat kalian terpecah belah, ulama kok jdi provokator? jika mereka ulama seharusnya mereka menyatukan indonesia bukan memecah belah.",2019-04-19T15:41:45Z,0,0,ham
resactly,"Idealis boleh pak wowo tp jgn terlampau muluk2.. Rakyat butuh jawaban realistis.. ""How"" bukan ""what"".. How you're gonna do with all those promises?",2019-04-19T12:47:33Z,9,0,ham
Mr Lollipop,"Beda kelas coy jawaban.nya, pak jokowi memang mantap",2019-04-19T11:25:42Z,0,0,ham
Luthfi Nanda Perdana,"Bedain download sama upload aja gak bisa sok-sokan bahas e-sport. Jgn sok sok mengerti kami yg milenial deh. 

Anda sudah memimpin 4,5 tahun pak, bicara anda bukan lagi ""saya akan"" tapi ""saya sudah melakukan..."" . Gitu dong, jgn janji melulu terus jualan kartu lagi, udh gak laku",2019-04-19T09:00:56Z,0,0,ham
Mario ID,"andai jokowi pasangannya Sandiaga uno, udah cakep deh. sandi pinter, salah pasangan dia,",2019-04-19T07:32:59Z,0,0,ham
Alvi Syahrani,Kalau UN dihapuskan jayalah kelahiran 2005 taun depan:),2019-04-19T04:53:09Z,1,0,ham
octaviana dias,Asean games,2019-04-19T02:30:00Z,0,0,spam
Ramly S,01 banyak nya hutang nya  bagay mana nanti kalo  kita di jajah,2019-04-19T02:27:06Z,0,0,ham
Bain Channel,2,2019-04-19T00:52:36Z,0,0,ham
Anggilita Veronicka,Pak Jokowi pasti menang 💪 ya Allah pak Jokowi pasti menang 💪😇 amin,2019-04-19T00:41:01Z,12,1,ham
Hendra Wibawa,Pki pakai Ya Allah..,2019-04-28T18:22:40Z,0,,ham
Siwi Sulanjari,"pak jokowi bener bener contoh. bahwa hidup harus sabar dn ikhlas.. tidak mendendam :"") love you pak",2019-04-18T17:18:17Z,2,0,ham
Rina Diyanti,Tetep milih nomor 01. Kalem + Tegas juga.  Dari wajahnya sudah terlihat,2019-04-18T14:18:28Z,3,0,ham
AKNES RENI RAHEL NAUYAGIR,Ilovyou bapak jokowi bapak adalah pemimpin yg terbaik buat negeri ini😍😇😇 good bless you❤❤,2019-04-18T13:32:56Z,15,0,ham
Zaidan Fakhri Fauzan,Ma'ruf amin AFK,2019-04-18T12:32:50Z,0,0,ham
Aina Rahmatuloh,Serem muka ya prabowo takut aku mah,2019-04-18T12:00:54Z,1,0,ham
Radek Nailla,Ayeee,2019-04-18T10:38:32Z,0,0,spam
Putri Ayu Mahrani,👆👆👆,2019-04-18T09:31:56Z,1,0,ham
amma wati,suka sekali lihat pak sandi be smart 👆👆✌,2019-04-18T08:00:55Z,1,0,ham
Uciha Sasuke,Ini sesuai pilihan kalian jgn meremehkan 01 bro pak jokowi yang telah bangun jembatan di mana2 jika kalian tau kalau no urut 02 gk bagus pasti menyesal bro ingat itu!!,2019-04-18T07:42:42Z,2,1,ham
Rina Rina,Benar tu .,2019-04-20T13:33:24Z,0,,ham
SaMsuL WaKid,Jadi keinget Ahok vs anies 🤣🤣🤣🤣,2019-04-18T06:55:56Z,1,0,ham
Abi Wildan,"Janji yang lala belum ditepati,  sekarang beri janji baru alias mimpi!!!",2019-04-18T06:54:00Z,0,0,ham
Dewi Novitasari,kyk menang aja siiiii Wowo wkwkwk,2019-04-18T06:27:01Z,0,0,ham
sistergirly lets play,PRABOWO NUDUH JOKOWI,2019-04-18T06:20:16Z,0,0,ham
Dewi Novitasari,hidup jokowi Maruf amin!!!!,2019-04-18T06:19:56Z,0,0,ham
세카르♡,"pak sandi saya akui benar2 pembisnis yg cerdas. semoga beliau bsa belajar dr pengalaman dimasa-masa ini untuk kedepannya dan menjadi pemimpin yg lebih baik dan bijak. tidak hanya masalah kuantitas, ekonomi, tapi juga kualitas masyarakat. saya udah mengikuti komentar2nya sejak mencalonkan diri menadi wagub dki. dan beliau salah satu pemimpin muda yg berpeluang untuk masa depan indonesia. hanya saja masih perlu banyak belajar aktualisasi di lapangan",2019-04-18T05:55:31Z,0,0,ham
Galauu446 Galauu445,jokowi curang,2019-04-18T04:42:50Z,0,0,ham
Rama Mahardika,Setelah lihat ini. 02 gak nyesel gua pilih. Walaupun telat nonton di tv karena males nonton tv lagi. 02 brillian intinya gak usah banyak bacot. Jangan banyak janji kalo gak yakin bisa ditepatin.   Your turn bro..,2019-04-18T01:20:20Z,0,0,ham
Deva Purba,1,2019-04-18T00:24:09Z,1,0,ham
artos olla,"Tim Sebelah Yg Cowo Kok Ga Ada Etika Komunikasinya yah, Agak Kamseu wkwkk... Udah Paling Banyak Dia Ngomong Mba Santinya Dipotong2 Mulu wkwkk... Bagian Mba santi Ngomong Masih Aja Disikat Juga wkwkwkk... Lulusan mana si pak 😂😝",2019-04-18T00:14:01Z,0,0,ham
Fara adviani,Intinya siapa yang jadi presiden ga ada adu domba omongan dijaga,2019-04-17T23:28:01Z,0,0,ham
keanuu dw,Kejar trus pak prwobo sandi kmi mendung ku mu,2019-04-17T19:38:43Z,0,0,ham
Lailatul qodariyah,Selalu membawa teks??? Situ sehat??,2019-04-17T19:22:04Z,0,0,ham
pia yunita,"Dari debat aja keliatan mana yg kerja mana yg hanya menggiring sample..   Mau pilih yg real kerja ato yg hanya menjanjikan.. Gaji akan di sumbangkan, lantas untuk apa mencalonkan diri, manusia tdk ad yg sempurna, jangan sampai tertipu...",2019-04-17T18:16:58Z,1,0,ham
One Piece,Kalau 01 aja langsng trending ..klo 02 Dihilangkan...wkwkwk,2019-04-17T17:50:51Z,0,0,ham
RULY S,SUNGGUH ironis negeri ini.. KOTAK SUARA TERBUAT DARI KARDUS.. Pasti mudah dicurangkan,2019-04-17T16:17:52Z,0,0,ham
Vlog Pisang,Beras turun petani sengsara pak sandi,2019-04-17T16:10:21Z,0,0,ham
Zizou Atm,Sabar sabar ...untuk indonesia sapa aja pemimpinnya...mbok ya jangan ngotot salh ini salah itu..hukum ada ..lapor mbok ya jngn hoax ditebar ..menang kalah ya wajar yang penting indonesia maju kerjaan gampang..rakyat adil makmur sentosa ...blum apa2 dah ngotot aja......,2019-04-17T15:52:37Z,0,0,ham
egha bayu samudra,Pak wowo indonesia itu luas jgn di anggap seperti sedaun kelor,2019-04-17T15:52:07Z,0,0,ham
egha bayu samudra,Pak dhe gaaasss poooll... Terima kasih telah menjujung HAM bagi orang indonesia di luar negri... Terima kasih pak jokowi...,2019-04-17T15:45:34Z,4,0,ham
ylzy,Semoga Prabowo sandi yang menang,2019-04-17T15:38:50Z,0,0,ham
Via vi,Pak Prabowo kalau ngomong bocor2 Mulu kalau gk ngomong bocor itu  antek2 asing   kalua ngomong selalu sebut nama itu mungkin udh jadi ciri khas nya kali ya,2019-04-17T15:33:00Z,1,0,ham
Muhammad Yusuf,klian yg mau diundng ke istana silahkan bakar masjid biar ketemu jokowow,2019-04-17T14:40:54Z,0,0,ham
Vlog Pisang,"Harga pangan turun petani mati pak sandi, bukan sejahtera",2019-04-17T14:32:24Z,0,0,ham
Rifa Kamila Utomo,01 Jokowi pasti menang 💯,2019-04-17T14:18:34Z,2,0,ham
wahyu pratiwi,Gasuka moderator cowonya ehe,2019-04-17T13:53:07Z,0,0,ham
Ytubeplay Ground,💘❤💓💔💕🖤💤❣❣💫💬💤🗨💣🗯💭💭💥💞💗💣💣🗨💤💌💚💚❣💨💨💦💟💟💙💙💙💚💚💚💚💛💛💫💬🗨💬💤💤💢🗨💬💤💢💣💣💝💣🖤🖤💜💛💌💤💤🖤💢💢🖤💣💣🗨💬💜💌❤💔🖤💢💝💥💞💥💥💭💢💤💤💛💜🖤💛💘💟❣💌💛💜💤💤💤💛----,2019-04-17T13:52:55Z,0,0,ham
Arul Maurer,Kalian tau nggak? Kalau prabowo sandiaga lagi kena prank dari KPU?,2019-04-17T13:36:46Z,3,0,ham
TREASURE & ENHYPEN,Kalian mungkin menilai mereka dari ketegasan dan debatnya yg mantap. Tapi saya berbeda.. saya melihat aura positif mana yg lebih kuat. Karena banyak manusia2 yg pandai berbicara tetapi tidak sesuai harapan dan tidak baik seperti kelihatannya .,2019-04-17T13:08:57Z,0,0,ham
TREASURE & ENHYPEN,Pak Jokowi gak pinter ngomong tetapi sangat terlihat alami dan niatnya baik serta tulus.. aura positif pak Jokowi jauh lebih kuat dari pak prabowo.. saya tau bahwa pak Jokowi punya banyak keinginan untuk memajukan Indonesia dan selama ini kita semua mana tau kemajuan2 apa aja yang telah dicapainya karena kemajuan itu perlahan2 dan sedikit tidak langsung cepat dan banyak karena kita tidak akan pernah mengerti betapa sulitnya jadi presiden .saya paham di hati bapak punya banyak niat baik dan usaha yang ingin bapak lakukan tapi sayang dalam hal ngomong dan debat pak Jokowi lemah dan terlalu polos. Kita semua kan kenal gimana orangnya pak Jokowi. Sangat sederhana dan apa adanya . Tidak semua orang yang mungkin pendidikannya lebih rendah tidak lebih pintar dari yang pendidikannya lebih tinggi dan lebih kaya,2019-04-17T13:06:27Z,0,0,ham
Bang AJ,Kalian media gk netral bangkrut aja sana,2019-04-17T12:59:27Z,0,0,ham
TREASURE & ENHYPEN,Entah kenapa saya pengen pak Jokowi jadi presiden dan wakilnya pak Sandiaga Uno 😂 . Pak Jokowi orang baik yang mementingkan rakyat dan tulus sedangkan pak Sandiaga itu smart dan banyak ide kayaknya,2019-04-17T12:49:15Z,7,3,ham
Beby quin,Nice....semoga pilpres berikutnya itu tercapai😂,2019-04-19T08:01:45Z,0,,ham
Kiswah Assyifa,Mimpi,2019-04-19T00:36:23Z,0,,ham
trixie janice,Kalau mereka digabungkan dunia lebih jaya kayanya,2019-04-18T07:24:30Z,0,,ham
TREASURE & ENHYPEN,Terkadang pemimpin yang hanya mengincar jabatan dan tamak itu lebih pandai berkata2 dan menebar janji sembarangan. Lihatlah yang benar2 mana yang mulutnya licin sama yang berhati2 menjaga ucapan,2019-04-17T12:47:56Z,0,0,ham
Jon Terusan,Quik kon,2019-04-17T12:13:06Z,0,0,ham
Bramasta mbab,Gimana mau memimpin negara kl yg jawab wakilnya bisa2 ancur negara ini akan diperbudak oleh antek2 asing presiden kok ditanya sama pak jokowi jawabnya itu2 aj mau dijadikan negara dongeng kali,2019-04-17T12:06:21Z,0,0,ham
dekofi official,"Pak Jokowi-Amiinn...kerja nyata untuk indonesia, tidak ada janji muluk2☝️",2019-04-17T11:51:32Z,5,1,ham
Nuri Sartica,Janji yang di ingkari,2019-04-17T12:56:06Z,0,,ham
rizal yt,"KEMARIN SEMPET LIAT BANYAK YANG KOMEN JELEK""IN EH SEKARANG YANG DIJELEK""IN UDAH KELIAATAN UNGGUL DI QUICK QOUNT, DASAR BACOTTT!",2019-04-17T11:43:17Z,5,1,ham
TREASURE & ENHYPEN,Penipu ngomongnya selalu diunggul2in .. terkadang orang gak pinter nipu tetapi lebih suka bukti nyata makanya dia gak bicara muluk2 ..,2019-04-17T12:59:47Z,0,,ham
Rhudy Nuno,"Jokowi kalem,,,  tapi pendukungnya Militan",2019-04-17T11:37:55Z,0,0,ham
Stephanie Elshadany Yamanto,"jokowi pliss ...jokowi itu merakyat ,sederhana ,gak sombong ,dan sayang rakyatnya , jokowi aamiiinnnnnn hidup jokowi",2019-04-17T11:37:16Z,24,3,ham
Hendra Wibawa,Semoga jokowi menang jadi walikota lagi.,2019-04-28T18:25:01Z,0,,ham
KILL THIS SLOT,Jokowi bobrok negara ini,2019-04-24T03:15:03Z,0,,ham
Rifa Kamila Utomo,Semoga Jokowi semoga menang,2019-04-17T14:15:22Z,0,,ham
Theresia Saragih,Jokowi menang.jadii siapa yg sebenarnya cebong?,2019-04-17T11:21:47Z,2,0,ham
his_a,"Membaca komen para pendukung saja sdh terlihat mana pasangan capres yg bijak, bikin teduh & cerdas 😃",2019-04-17T11:14:24Z,0,0,ham
Raziq Alghifari,"Apa coba ngomongin masalah negara malah nanya kemajuan game ml,pubg,dota.   Hadeh.....tingkatan presiden kok gitu",2019-04-17T11:03:24Z,0,1,ham
Rhudy Nuno,"Presiden kita itu broo,,,  udalah ngaku aja,,",2019-04-17T11:37:15Z,0,,ham
Sayangnety Sayangnety,"Ya Allah
Siapa kah pemimpin Indonesia
Yg penting Indonesia damai",2019-04-17T10:28:51Z,0,0,ham
Devi Ana,"kalau mau liat Indonesia ini maju   damai sejahtera,disiplin.mandiri berkretifitas,beretika baik,dan bersatu untuk Indonesia lebih baik.dukung dan pilih urut no 01 melanjutkan pekerjaan yg tertunda",2019-04-17T10:21:40Z,0,0,ham
urang awak,prbowo sandi 02,2019-04-17T10:05:30Z,0,0,ham
Devi Ana,Pendukung jokowi tidak perlu gembar gembor udah pasti menang dan lanjutkan pekerjaan  yg tertunda lanjut no urut no 01,2019-04-17T10:03:56Z,7,2,ham
Ketut Pesek,Pass👌,2019-04-18T13:39:57Z,0,,ham
Farel Gore,Allahuakbar,2019-04-17T10:09:56Z,0,,ham
Claudrey Manalo,Temennya adik gua nyoblos 02 d kasih uang 300rb kenapa kah itu. Karna gua gx nyoblos,2019-04-17T09:47:25Z,0,2,ham
Claudrey Manalo,Demi allah dia yg bilang sendiri,2019-04-17T10:12:33Z,0,,ham
Farel Gore,"Hoaxxx itu, tapi 2 periode tetep menang hehe",2019-04-17T10:10:31Z,0,,ham
Devi Ana,generasi muda yg tangguh dan berkualitas pilih no urut 01,2019-04-17T09:40:31Z,5,0,ham
Devi Ana,sabar presidenku jokowi.engkau sedang di uji.,2019-04-17T09:39:40Z,5,0,ham
